t;Taylor;RKN
0,0;0;0
0,1;0,005;0,00528494405105416
0,2;0,0208178141656211;0,022154246728603
0,3;0,0489013604087945;0,0518441851163707
0,4;0,09031722099011;0,0952033277983139
0,5;0,145743352416653;0,152691979818289
0,6;0,215470733071609;0,22439027335089
0,7;0,299413571590902;0,310014377373386
0,8;0,39712751784164;0,408940133551078
0,9;0,507835154120369;0,520233279186848
1,0;0,630457900288396;0,642685294382445
1,1;0,763653345904154;0,774853811905718
1,2;0,905856927340634;0,915106456447569
1,3;1,05532680011806;1,06166693614404
1,4;1,21019071732066;1,21266219393861
1,5;1,36849371441902;1,3661694394147
1,6;1,52824541883567;1,52026192233658
1,7;1,68746584826386;1,67305237587241
1,8;1,84422863354197;1,82273314832307
1,9;1,99670069767356;1,96761215459793
2,0;2,14317753970558;2,10614390964521
2,1;2,28211340750784;2,23695505214319
2,2;2,41214579351402;2,35886392425828
2,3;2,53211384836196;2,47089393821803
2,4;2,64107047506425;2,57228062874054
2,5;2,73828803668664;2,66247245787934
2,6;2,82325777932596;2,74112560151631
2,7;2,89568323535208;2,80809310065222
2,8;2,95546802547338;2,86340890213647
2,9;3,0026986185289;2,90726743920614
3,0;3,03762273167846;2,93999950923734
3,1;3,06062415795438;2,96204529198905
3,2;3,07219489054683;2,97392541440842
3,3;3,07290547185643;2,97621100640736
3,4;3,06337452898688;2,96949370515089
3,5;3,04423846530706;2,95435655317449
3,6;3,01612225995383;2,93134669854174
3,7;2,97961228426987;2,90095074434027
3,8;2,93523197738054;2,8635735117447
3,9;2,88342113419715;2,81952087783518
4,0;2,8245194504155;2,76898722901772
4,1;2,758754843361;2,71204793633219
4,2;2,68623692803253;2,64865711358368
4,3;2,60695587796885;2,57865076678124
4,4;2,52078674440598;2,50175528767747
4,5;2,42749914857423;2,41760108921399
4,6;2,32677210492676;2,32574103032121
4,7;2,21821358159296;2,22567313561739
4,8;2,10138426227961;2,1168669857255
4,9;1,9758248448493;1,9987930395149
5,0;1,84108609923245;1,87095405355211
5,1;1,69676081413093;1,73291768894818
5,2;1,54251669064419;1,58434934365733
5,3;1,37812919346839;1,42504422060451
5,4;1,20351334809287;1,25495763970312
5,5;1,01875347624783;1,07423262516558
5,6;0,824129891919271;0,88322384818709
5,7;0,620141636083477;0,682517078161506
5,8;0,407524408840788;0,472943391539179
5,9;0,187262961160205;0,255587504169274
6,0;-0,0394026672721857;0,0317897278786216
6,1;-0,270977535347686;-0,19685879793542
6,2;-0,505719127207314;-0,428527787227918
6,3;-0,741651764372909;-0,661166418671636
6,4;-0,976588074031709;-0,892528721856842
6,5;-1,2081573056717;-1,12020540936313
6,6;-1,43384011089413;-1,34166165671232
6,7;-1,65100922924102;-1,55428017159643
6,8;-1,85697536044578;-1,75540874550373
6,9;-2,0490373546412;-1,94241134862426
7,0;-2,22453572046918;-2,11272171605156
7,1;-2,38090834009551;-2,26389828274683
7,2;-2,5157471927689;-2,39367925894433
7,3;-2,62685482718959;-2,50003659855845
7,4;-2,71229928941539;-2,58122760201703
7,5;-2,77046620855669;-2,63584291247581
7,6;-2,80010676767419;-2,66284971060542
7,7;-2,8003803419989;-2,66162898746663
7,8;-2,77089067007715;-2,63200587614199
7,9;-2,711714534276;-2,5742721488896
8,0;-2,6234220632045;-2,48920013516172
8,1;-2,50708792735702;-2,37804748388792
8,2;-2,36429287747403;-2,24255237749281
8,3;-2,1971152690764;-2,08491900133755
8,4;-2,00811242230467;-1,90779327647039
8,5;-1,80029187922054;-1,71422907134711
8,6;-1,57707283653059;-1,50764531502151
8,7;-1,34223824558694;-1,29177463566432
8,8;-1,09987827881501;-1,0706043396805
8,9;-0,854326057818852;-0,848310723869596
9,0;-0,610086718923788;-0,629187871993442
9,1;-0,371761052734907;-0,41757222412467
9,2;-0,143965091709029;-0,217764319039311
9,3;0,0687528694788389;-0,0339491939966762
9,4;0,261996254532968;0,129883019588344
9,5;0,431603570796492;0,270014743308499
9,6;0,573729525628446;0,383075289928346
9,7;0,684922276650862;0,466110382477155
9,8;0,76219524846364;0,516645417710479
9,9;0,803092031106889;0,532741141380824
10,0;0,805742989650633;0,513040535322491
10,1;0,768912357711002;0,456805874936303
10,2;0,692034757692681;0,36394509713696
10,3;0,575240283819089;0,23502681957281
10,4;0,419367496700859;0,0712835678887449
10,5;0,225963906042609;-0,125397005422873
10,6;-0,00272624351226409;-0,352492894101648
10,7;-0,26378682430455;-0,606880252349888
10,8;-0,553667011463841;-0,884877168627174
10,9;-0,868230258252408;-1,1822979948954
11,0;-1,20281428544561;-1,49451731759156
11,1;-1,5523010921637;-1,81654246428756
11,2;-1,91119579706614;-2,14309326899029
11,3;-2,27371294301671;-2,46868767292187
11,4;-2,63386874888277;-2,78773161946117
11,5;-2,98557767215532;-3,09461161420178
11,6;-3,32275155806722;-3,38378826562927
11,7;-3,6393995966792;-3,64988909990371
11,8;-3,92972729012418;-3,88779895511418
11,9;-4,18823264825108;-4,09274630589688
12,0;-4,40979788195004;-4,26038394752049
12,1;-4,58977494840606;-4,38686257779657
12,2;-4,72406341964233;-4,46889595317672
12,3;-4,80917929253726;-4,5038164592568
12,4;-4,84231353197461;-4,48962012219314
