t;Taylor;RKN
0,00;0;0
0,01;5E-05;5,02984956471884E-05
0,02;0,000200891864688846;0,000202375875522934
0,03;0,000454441184099457;0,000457977705485738
0,04;0,000812377158877491;0,000818813005617269
0,05;0,00127639238346739;0,0012865540403132
0,06;0,00184814263846704;0,00186283611754912
0,07;0,00252924669216103;0,00254925739732998
0,08;0,00332128611124066;0,0033473787093291
0,09;0,0042258050807165;0,00425872337972126
0,10;0,00524431023302751;0,00528477706721178
0,11;0,00637827048634831;0,00642698760826172
0,12;0,0076291168920946;0,00768676487150726
0,13;0,00899824249162415;0,00906548062136925
0,14;0,0104870021821292;0,0105644683908467
0,15;0,0120967125917137;0,0121850233634864
0,16;0,0138286519636468;0,0139284022645179
0,17;0,015684060049783;0,015795823261143
0,18;0,0176641380131345;0,0177884658719632
0,19;0,0197700483395835;0,0199074708855322
0,20;0,0220029147587166;0,0221539402880116
0,21;0,0243638221737623;0,024528937199913
0,22;0,0268538166006129;0,0270334858219016
0,23;0,0294739051159062;0,0296685713896392
0,24;0,0322250558141437;0,0324351401376389
0,25;0,0351081977738188;0,0353340992721044
0,26;0,0381242210325262;0,0383663169527241
0,27;0,0412739765710221;0,041532622283387
0,28;0,0445582763062038;0,0448338053117875
0,29;0,047977893092973;0,048270617037883
0,30;0,0515335607349482;0,0518437694311668
0,31;0,0552259740039874;0,0555539354567164
0,32;0,0590557886684812;0,0594017491099764
0,33;0,0630236215303752;0,0633878054602324
0,34;0,0671300504708773;0,067512660702731
0,35;0,071375614504805;0,0717768322193984
0,36;0,0757608138435253;0,0761807986481104
0,37;0,0802861099664386;0,0807249999604613
0,38;0,0849519257009546;0,0854098375479809
0,39;0,0897586453109092;0,0902356743167458
0,40;0,0947066145933664;0,0952028347903271
0,41;0,0997961409837507;0,10031160522102
0,42;0,105027493669251;0,105562233709294
0,43;0,110400903710435;0,110954930331402
0,44;0,115916564171019;0,116489867275092
0,45;0,121574630255724;0,122167178983343
0,46;0,127375219456149;0,127986962306082
0,47;0,133318411704615;0,133949276659787
0,48;0,139404249535885;0,14005414419493
0,49;0,145632738256717;0,146301549971181
0,50;0,152003846123151;0,152691442140295
0,51;0,15851750452549;0,159223732136616
0,52;0,165173608180872;0,165898294875122
0,53;0,171972015333368;0,172714968956932
0,54;0,178912547961543;0,179673556882193
0,55;0,185994991993373;0,186773825270282
0,56;0,193219097528465;0,194015505087217
0,57;0,200584579067477;0,201398291880224
0,58;0,20809111574868;0,20892184601935
0,59;0,215738351591545;0,216585792946056
0,60;0,223525895747302;0,224389723428689
0,61;0,231453322756361;0,232333193824756
0,62;0,239520172812525;0,240415726349903
0,63;0,247725952033881;0,248636809353515
0,64;0,256070132740308;0,256995897600841
0,65;0,264552153737488;0,265492412561551
0,66;0,273171420607333;0,274125742704632
0,67;0,281927306004738;0,282895243799529
0,68;0,29081914996056;0,291800239223434
0,69;0,299846260190724;0,300840020274622
0,70;0,309007912411367;0,310013846491742
0,71;0,31830335065991;0,319320945978954
0,72;0,327731787621965;0,328760515736822
0,73;0,337292404963978;0,33833172199885
0,74;0,346984353671497;0,348033700573572
0,75;0,356806754392967;0,357865557192076
0,76;0,366758697788956;0,367826367860869
0,77;0,376839244886689;0,377915179219975
0,78;0,387047427439799;0,388131008906156
0,79;0,397382248293186;0,398472845921153
0,80;0,407842681752869;0,408939651004838
0,81;0,418427673960734;0,419530357013158
0,82;0,429136143274051;0,430243869300786
0,83;0,439966980649674;0,441079066108337
0,84;0,450919050032795;0,452034798954061
0,85;0,461991188750144;0,463109893029896
0,86;0,473182207907525;0,474303147601755
0,87;0,484490892791583;0,485613336413959
0,88;0,495916003275668;0,497039208097675
0,89;0,507456274229706;0,508579486583264
0,90;0,519110415933943;0,520232871516416
0,91;0,530877114496458;0,531998038677958
0,92;0,542755032274328;0,543873640407216
0,93;0,55474280829832;0,555858306028821
0,94;0,566839058701009;0,567950642282838
0,95;0,57904237714819;0,580149233758098
0,96;0,591351335273471;0,592452643328619
0,97;0,603764483115938;0,604859412593002
0,98;0,616280349560759;0,617368062316672
0,99;0,62889744278262;0,629977092876858
1,00;0,641614250691868;0,642684984710184
1,01;0,654429241383245;0,655490198762752
1,02;0,667340863587091;0,66839117694261
1,03;0,680347547122901;0,681386342574469
1,04;0,693447703355107;0,694474100856553
1,05;0,706639725650981;0,707652839319478
1,06;0,719921989840518;0,720920928287011
1,07;0,733292854678199;0,734276721338624
1,08;0,746750662306504;0,747718555773684
1,09;0,760293738721048;0,761244753077197
1,10;0,77392039423724;0,774853619386962
1,11;0,787628923958322;0,788543445962014
1,12;0,801417608244683;0,802312509652255
1,13;0,815284713184326;0,816159073369138
1,14;0,82922849106436;0,830081386557281
1,15;0,843247180843405;0,844077685666906
1,16;0,857339008624791;0,858146194626978
1,17;0,871502188130425;0,872285125318911
1,18;0,885734921175209;0,886492678050748
1,19;0,900035398141898;0,900767042031674
1,20;0,914401798456269;0,915106395846754
1,21;0,928832291062484;0,929508907931777
1,22;0,943325034898536;0,943972737048085
1,23;0,957878179371656;0,95849603275728
1,24;0,972489864833558;0,973076935895672
1,25;0,987158223055416;0,987713579048377
1,26;1,00188137770245;1,00240408702293
1,27;1,01665744480801;1,01714657732229
1,28;1,03148453324704;1,03193916061717
1,29;1,04636074520876;1,04677994121753
1,30;1,06128417666862;1,06166701754308
1,31;1,07625291785912;1,07659848259285
1,32;1,0912650537397;1,09157242441344
1,33;1,10631866446537;1,10658692656618
1,34;1,12141182585404;1,12164006859271
1,35;1,13654260985244;1,13672992647922
1,36;1,15170908500054;1,151854573119
1,37;1,16690931689432;1,1670120787733
1,38;1,1821413686468;1,18220051153036
1,39;1,19740330134718;1,19741793776251
1,40;1,2126931745181;1,21266242258123
1,41;1,22800904657081;1,22793203029008
1,42;1,24334897525808;1,24322482483536
1,43;1,25871101812498;1,25853887025442
1,44;1,27409323295717;1,27387223112155
1,45;1,28949367822678;1,28922297299124
1,46;1,30491041353563;1,30458916283887
1,47;1,32034150005583;1,31996886949853
1,48;1,33578500096756;1,33536016409813
1,49;1,351238981894;1,35076112049139
1,50;1,36670151133321;1,36616981568688
1,51;1,38217066108702;1,38158433027389
1,52;1,39764450668665;1,39700274884504
1,53;1,41312112781512;1,41242316041557
